tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	description	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
PI16-21	PI16	0.0		Conglomerate	Breccia		Clast	243.2	-5.8	0	84.2	-46	This study	SO-CMD-NORTH	g	i
PI16-22	PI16	0.0		Conglomerate	Breccia		Clast	237.2	-5.8	0	84.2	-33	This study	SO-CMD-NORTH	g	i
PI16-23	PI16	0.0		Conglomerate	Breccia		Clast	244.2	-5.8	0	84.2	-18	This study	SO-CMD-NORTH	g	i
PI16-24	PI16	0.0		Conglomerate	Breccia		Clast	262.2	-5.8	0	84.2	-42	This study	SO-CMD-NORTH	g	i
PI2c-1	PI2c	0.0		Conglomerate	Breccia		Clast	83.2	-5.8	0	84.2	-47	This study	SO-CMD-NORTH	g	i
PI2c-3	PI2c	0.0		Conglomerate	Breccia		Clast	79.2	-5.8	0	84.2	-28	This study	SO-CMD-NORTH	g	i
PI2c-4	PI2c	0.0		Conglomerate	Breccia		Clast	38.2	-5.8	0	84.2	-34	This study	SO-CMD-NORTH	g	i
PI2c-6	PI2c	0.0		Conglomerate	Breccia		Clast	116.2	-5.8	0	84.2	-54	This study	SO-CMD-NORTH	g	i
PI2c-7	PI2c	0.0		Conglomerate	Breccia		Clast	11.2	-5.8	0	84.2	-36	This study	SO-CMD-NORTH	g	i
PI2c-8	PI2c	0.0		Conglomerate	Breccia		Clast	61.2	-5.8	0	84.2	-42	This study	SO-CMD-NORTH	g	i
PI2c-9	PI2c	0.0		Conglomerate	Breccia		Clast	91.2	-5.8	0	84.2	-28	This study	SO-CMD-NORTH	g	i
PI2c-10	PI2c	0.0		Conglomerate	Breccia		Clast	82.2	-5.8	0	84.2	-23	This study	SO-CMD-NORTH	g	i
PI2c-11	PI2c	0.0		Conglomerate	Breccia		Clast	130.2	-5.8	0	84.2	-22	This study	SO-CMD-NORTH	g	i
PI2c-12	PI2c	0.0		Conglomerate	Breccia		Clast	93.2	-5.8	0	84.2	-21	This study	SO-CMD-NORTH	g	i
PI2c-13	PI2c	0.0		Conglomerate	Breccia		Clast	-36.8	-5.8	0	84.2	-46	This study	SO-CMD-NORTH	g	i
PI2c-14	PI2c	0.0		Conglomerate	Breccia		Clast	-19.8	-5.8	0	84.2	-43	This study	SO-CMD-NORTH	g	i
PI2c-15	PI2c	0.0		Conglomerate	Breccia		Clast	197.2	-5.8	0	84.2	-22	This study	SO-CMD-NORTH	g	i
PI2c-16	PI2c	0.0		Conglomerate	Breccia		Clast	230.2	-5.8	0	84.2	-20	This study	SO-CMD-NORTH	g	i
PI2c-17	PI2c	0.0		Conglomerate	Breccia		Clast	258.2	-5.8	0	84.2	-20	This study	SO-CMD-NORTH	g	i
PI2c-19	PI2c	0.0		Conglomerate	Breccia		Clast	107.2	-5.8	0	84.2	-30	This study	SO-CMD-NORTH	g	i
PI2c-20	PI2c	0.0		Conglomerate	Breccia		Clast	246.2	-5.8	0	84.2	-21	This study	SO-CMD-NORTH	g	i
PI2c-22	PI2c	0.0		Conglomerate	Breccia		Clast	170.2	-5.8	0	84.2	-16	This study	SO-CMD-NORTH	g	i
PI2c-24	PI2c	0.0		Conglomerate	Breccia		Clast	71.2	-5.8	0	84.2	-42	This study	SO-CMD-NORTH	g	i
PI2c-25	PI2c	0.0		Conglomerate	Breccia		Clast	104.2	-5.8	0	84.2	-25	This study	SO-CMD-NORTH	g	i
PI44-1	PI44	0.0		Conglomerate	Breccia		Matrix	110.1	-5.9	0	84.1	-43	This study	SO-CMD-NORTH	g	i
PI44-2	PI44	0.0		Conglomerate	Breccia		Matrix	119.1	-5.9	0	84.1	-44	This study	SO-CMD-NORTH	g	i
PI44-3	PI44	0.0		Conglomerate	Breccia		Matrix	134.1	-5.9	0	84.1	-34	This study	SO-CMD-NORTH	g	i
PI44-4	PI44	0.0		Conglomerate	Breccia		Matrix	119.1	-5.9	0	84.1	-36	This study	SO-CMD-NORTH	g	i
PI44-5	PI44	0.0		Conglomerate	Breccia		Matrix	122.1	-5.9	0	84.1	-35	This study	SO-CMD-NORTH	g	i
PI44-6	PI44	0.0		Conglomerate	Breccia		Matrix	248.1	-5.9	0	84.1	-71	This study	SO-CMD-NORTH	g	i
PI44-7	PI44	0.0		Conglomerate	Breccia		Matrix	247.1	-5.9	0	84.1	-73	This study	SO-CMD-NORTH	g	i
PI44-8	PI44	0.0		Conglomerate	Breccia		Matrix	248.1	-5.9	0	84.1	-71	This study	SO-CMD-NORTH	g	i
PI44-9	PI44	0.0		Conglomerate	Breccia		Matrix	-6.9	-5.9	0	84.1	-28	This study	SO-CMD-NORTH	g	i
PI44-10	PI44	0.0		Conglomerate	Breccia		Matrix	47.1	-5.9	0	84.1	-20	This study	SO-CMD-NORTH	g	i
PI44-12	PI44	0.0		Conglomerate	Breccia		Matrix	24.1	-5.9	0	84.1	-59	This study	SO-CMD-NORTH	g	i
PI44-13	PI44	0.0		Conglomerate	Breccia		Matrix	17.1	-5.9	0	84.1	-66	This study	SO-CMD-NORTH	g	i
PI31-1	PI31	0.0		Conglomerate	Breccia		Clast	151.0	-6.0	0	84.0	-39	This study	SO-CMD-NORTH	g	i
PI31-2	PI31	0.0		Conglomerate	Breccia		Clast	140.0	-6.0	0	84.0	-33	This study	SO-CMD-NORTH	g	i
PI31-4	PI31	0.0		Conglomerate	Breccia		Clast	-31.0	-6.0	0	84.0	-36	This study	SO-CMD-NORTH	g	i
PI31-5	PI31	0.0		Conglomerate	Breccia		Clast	-77.0	-6.0	0	84.0	-46	This study	SO-CMD-NORTH	g	i
PI31-8	PI31	0.0		Conglomerate	Breccia		Clast	178.0	-6.0	0	84.0	-34	This study	SO-CMD-NORTH	g	i
PI31-9	PI31	0.0		Conglomerate	Breccia		Clast	239.0	-6.0	0	84.0	-11	This study	SO-CMD-NORTH	g	i
PI31-10	PI31	0.0		Conglomerate	Breccia		Clast	135.0	-6.0	0	84.0	-74	This study	SO-CMD-NORTH	g	i
PI31-12	PI31	0.0		Conglomerate	Breccia		Clast	-56.0	-6.0	0	84.0	-42	This study	SO-CMD-NORTH	g	i
PI31-13	PI31	0.0		Conglomerate	Breccia		Clast	-69.0	-6.0	0	84.0	-36	This study	SO-CMD-NORTH	g	i
PI31-14	PI31	0.0		Conglomerate	Breccia		Clast	-62.0	-6.0	0	84.0	-40	This study	SO-CMD-NORTH	g	i
PI31-16	PI31	0.0		Conglomerate	Breccia		Clast	-19.0	-6.0	0	84.0	-15	This study	SO-CMD-NORTH	g	i
PI31-17	PI31	0.0		Conglomerate	Breccia		Clast	84.0	-6.0	0	84.0	-52	This study	SO-CMD-NORTH	g	i
PI31-18	PI31	0.0		Conglomerate	Breccia		Clast	52.0	-6.0	0	84.0	-46	This study	SO-CMD-NORTH	g	i
PI31-19	PI31	0.0		Conglomerate	Breccia		Clast	-43.0	-6.0	0	84.0	-35	This study	SO-CMD-NORTH	g	i
PI31-20	PI31	0.0		Conglomerate	Breccia		Clast	-38.0	-6.0	0	84.0	-29	This study	SO-CMD-NORTH	g	i
PI26-1	PI26	0.0		Conglomerate	Breccia		Matrix	-11.0	-6.0	0	84.0	-23	This study	SO-CMD-NORTH	g	i
PI26-2	PI26	0.0		Conglomerate	Breccia		Matrix	-30.0	-6.0	0	84.0	-32	This study	SO-CMD-NORTH	g	i
PI26-3	PI26	0.0		Conglomerate	Breccia		Matrix	-7.0	-6.0	0	84.0	-48	This study	SO-CMD-NORTH	g	i
PI26-4	PI26	0.0		Conglomerate	Breccia		Matrix	36.0	-6.0	0	84.0	-61	This study	SO-CMD-NORTH	g	i
PI26-5	PI26	0.0		Conglomerate	Breccia		Matrix	50.0	-6.0	0	84.0	-22	This study	SO-CMD-NORTH	g	i
PI26-6	PI26	0.0		Conglomerate	Breccia		Matrix	44.0	-6.0	0	84.0	-25	This study	SO-CMD-NORTH	g	i
PI26-7	PI26	0.0		Conglomerate	Breccia		Matrix	-7.0	-6.0	0	84.0	-19	This study	SO-CMD-NORTH	g	i
PI26-8	PI26	0.0		Conglomerate	Breccia		Matrix	-43.0	-6.0	0	84.0	-25	This study	SO-CMD-NORTH	g	i
