tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	description	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
PI46-2	PI46	0.0		Conglomerate	Breccia		Matrix	-83.9	-5.9	0	84.1	-25	This study	SO-CMD-NORTH	g	i
PI46-3	PI46	0.0		Conglomerate	Breccia		Matrix	-84.9	-5.9	0	84.1	-40	This study	SO-CMD-NORTH	g	i
PI46-4	PI46	0.0		Conglomerate	Breccia		Matrix	-52.9	-5.9	0	84.1	-6	This study	SO-CMD-NORTH	g	i
PI46-5	PI46	0.0		Conglomerate	Breccia		Matrix	228.1	-5.9	0	84.1	-20	This study	SO-CMD-NORTH	g	i
PI46-6	PI46	0.0		Conglomerate	Breccia		Matrix	183.1	-5.9	0	84.1	-56	This study	SO-CMD-NORTH	g	i
PI46-7	PI46	0.0		Conglomerate	Breccia		Matrix	212.1	-5.9	0	84.1	-41	This study	SO-CMD-NORTH	g	i
PI46-8	PI46	0.0		Conglomerate	Breccia		Matrix	223.1	-5.9	0	84.1	-34	This study	SO-CMD-NORTH	g	i
PI46-9	PI46	0.0		Conglomerate	Breccia		Matrix	176.1	-5.9	0	84.1	-74	This study	SO-CMD-NORTH	g	i
PI46-10	PI46	0.0		Conglomerate	Breccia		Matrix	177.1	-5.9	0	84.1	-67	This study	SO-CMD-NORTH	g	i
PI46-11	PI46	0.0		Conglomerate	Breccia		Matrix	174.1	-5.9	0	84.1	-66	This study	SO-CMD-NORTH	g	i
