tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	PI22-15	PI22	PI22-15b	PI22-15b:LP-DIR-T	hargrave 2014-10-11 13:32:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	423	298	K		2	LT	u	35.1	172.4	l	g	48.5	15.9	6	-1
	This study	unknown	PI22-15	PI22	PI22-15b	PI22-15b:LP-DIR-T	hargrave 2014-10-11 13:32:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	523	K		2	HT	u	1.4	223.4	l	g	32.8	2.7	17	-1
	This study	unknown	PI22-15	PI22	PI22-15b	PI22-15b:LP-DIR-T	hargrave 2014-10-11 13:32:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	423	298	K		2	LT	u	35.1	8.0	l	g	75.9	15.9	6	0
	This study	unknown	PI22-15	PI22	PI22-15b	PI22-15b:LP-DIR-T	hargrave 2014-10-11 13:32:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	523	K		2	HT	u	1.4	92.8	l	g	49.9	2.7	17	0
	This study	unknown	PI22-1	PI22	PI22-1b	PI22-1b:LP-DIR-T	hargrave 2014-10-10 20:21:52	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	673	298	K		2	MT	u	16.6	166.6	l	g	67.0	7.1	16	-1
	This study	unknown	PI22-1	PI22	PI22-1b	PI22-1b:LP-DIR-T	hargrave 2014-10-10 20:21:52	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	723	K		2	HT	u	51.3	98.6	l	g	14.2	29.5	8	-1
	This study	unknown	PI22-1	PI22	PI22-1b	PI22-1b:LP-DIR-T	hargrave 2014-10-10 20:21:52	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	673	298	K		2	MT	u	16.6	19.4	l	g	78.2	7.1	16	0
	This study	unknown	PI22-1	PI22	PI22-1b	PI22-1b:LP-DIR-T	hargrave 2014-10-10 20:21:52	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	723	K		2	HT	u	51.3	82.2	l	g	16.5	29.5	8	0
	This study	unknown	PI22-2	PI22	PI22-2b	PI22-2b:LP-DIR-T	hargrave 2014-10-10 20:23:55	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	773	573	K		1	HT	u	8.8	193.2	l	g	49.6	2.1	9	-1
	This study	unknown	PI22-2	PI22	PI22-2b	PI22-2b:LP-DIR-T	hargrave 2014-10-10 20:23:55	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	773	573	K		1	HT	u	8.8	94.6	l	g	73.1	2.1	9	0
	This study	unknown	PI22-3	PI22	PI22-3b	PI22-3b:LP-DIR-T	hargrave 2014-11-03 19:51:51	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	473	348	K		3	LT	u	67.8	174.1	l	g	25.8	19.8	6	-1
	This study	unknown	PI22-3	PI22	PI22-3b	PI22-3b:LP-DIR-T	hargrave 2014-11-03 19:51:51	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		3	HT	u	5.2	99.7	l	g	11.0	4.3	15	-1
	This study	unknown	PI22-3	PI22	PI22-3b	PI22-3b:LP-DIR-T	hargrave 2014-11-03 19:51:51	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	913	873	K		3	hem	u	5.2	89.9	l	g	25.1	1.8	3	-1
	This study	unknown	PI22-3	PI22	PI22-3b	PI22-3b:LP-DIR-T	hargrave 2014-11-03 19:51:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	473	348	K		3	LT	u	67.8	116.2	l	g	74.9	19.8	6	0
	This study	unknown	PI22-3	PI22	PI22-3b	PI22-3b:LP-DIR-T	hargrave 2014-11-03 19:51:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		3	HT	u	5.2	44.6	l	g	14.4	4.3	15	0
	This study	unknown	PI22-3	PI22	PI22-3b	PI22-3b:LP-DIR-T	hargrave 2014-11-03 19:51:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	913	873	K		3	hem	u	5.2	27.2	l	g	15.8	1.8	3	0
	This study	unknown	PI22-4	PI22	PI22-4b	PI22-4b:LP-DIR-T	hargrave 2014-10-10 20:27:17	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	473	298	K		2	LT	u	30.9	126.2	l	g	57.9	14.5	8	-1
