tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-11-05 11:06:05	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	523	77	K		3	PLF	u	17.2	155.3	l	g	29.1	6.2	10	-1
	This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-11-05 11:06:05	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	723	548	K		3	MT	u	5.6	152.3	l	g	3.7	5.8	8	-1
	This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-11-05 11:06:05	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	852	833	K		3	HT	u	29.1	218.4	l	g	38.5	21.0	4	-1
	This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-11-05 11:06:05	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	523	77	K		3	PLF	u	17.2	18.3	l	g	67.7	6.2	10	0
	This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-11-05 11:06:05	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	723	548	K		3	MT	u	5.6	68.5	l	g	55.9	5.8	8	0
	This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-11-05 11:06:05	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	852	833	K		3	HT	u	29.1	246.4	l	g	54.9	21.0	4	0
	This study	unknown	PI22H-17	PI22H	PI22H-17a	PI22H-17a:LP-DIR-T	hargrave 2015-11-05 11:07:38	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	498	77	K		2	PLF	u	40.2	175.8	l	g	2.7	17.2	9	-1
	This study	unknown	PI22H-17	PI22H	PI22H-17a	PI22H-17a:LP-DIR-T	hargrave 2015-11-05 11:07:38	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	798	573	K		2	MT	u	0.5	144.2	l	g	-28.0	2.1	10	-1
	This study	unknown	PI22H-17	PI22H	PI22H-17a	PI22H-17a:LP-DIR-T	hargrave 2015-11-05 11:07:38	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	498	77	K		2	PLF	u	40.2	353.7	l	g	77.5	17.2	9	0
	This study	unknown	PI22H-17	PI22H	PI22H-17a	PI22H-17a:LP-DIR-T	hargrave 2015-11-05 11:07:38	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	798	573	K		2	MT	u	0.5	97.9	l	g	51.3	2.1	10	0
	This study	unknown	PI22H-18	PI22H	PI22H-18a	PI22H-18a:LP-DIR-T	hargrave 2015-11-05 11:09:10	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	423	0	K		2	PLF	u	33.2	161.8	l	g	61.4	10.2	7	-1
	This study	unknown	PI22H-18	PI22H	PI22H-18a	PI22H-18a:LP-DIR-T	hargrave 2015-11-05 11:09:10	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	823	448	K		2	MT	u	2.8	140.7	l	g	25.5	2.0	16	-1
	This study	unknown	PI22H-18	PI22H	PI22H-18a	PI22H-18a:LP-DIR-T	hargrave 2015-11-05 11:09:10	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	423	0	K		2	PLF	u	33.2	359.4	l	g	65.8	10.2	7	0
	This study	unknown	PI22H-18	PI22H	PI22H-18a	PI22H-18a:LP-DIR-T	hargrave 2015-11-05 11:09:10	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	823	448	K		2	MT	u	2.8	79.7	l	g	54.3	2.0	16	0
	This study	unknown	PI22H-19	PI22H	PI22H-19a	PI22H-19a:LP-DIR-T	hargrave 2015-11-05 13:07:13	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	423	0	K		2	PLF	u	33.7	160.1	l	g	74.6	9.3	7	-1
	This study	unknown	PI22H-19	PI22H	PI22H-19a	PI22H-19a:LP-DIR-T	hargrave 2015-11-05 13:07:13	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	798	473	K		2	MT	u	4.8	150.4	l	g	36.5	3.0	18	-1
	This study	unknown	PI22H-19	PI22H	PI22H-19a	PI22H-19a:LP-DIR-T	hargrave 2015-11-05 13:07:13	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	423	0	K		2	PLF	u	33.7	338.7	l	g	79.2	9.3	7	0
	This study	unknown	PI22H-19	PI22H	PI22H-19a	PI22H-19a:LP-DIR-T	hargrave 2015-11-05 13:07:13	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	798	473	K		2	MT	u	4.8	84.9	l	g	55.8	3.0	18	0
	This study	unknown	PI22H-20	PI22H	PI22H-20a	PI22H-20a:LP-DIR-T	hargrave 2015-11-05 13:09:06	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	398	0	K		2	PLF	u	35.4	190.2	l	g	41.6	5.8	6	-1
	This study	unknown	PI22H-20	PI22H	PI22H-20a	PI22H-20a:LP-DIR-T	hargrave 2015-11-05 13:09:06	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	773	473	K		2	MT	u	2.3	138.9	l	g	32.4	2.5	13	-1
