tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume	specimen_weight
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b		1.000e-03
This study	Slate Islands	PI24c-2	PI24c	PI24c-2b		1.000e-03
This study	Slate Islands	PI24c-3	PI24c	PI24c-3b		1.000e-03
This study	Slate Islands	PI24c-4	PI24c	PI24c-4b		1.000e-03
This study	Slate Islands	PI24c-6	PI24c	PI24c-6b		1.000e-03
This study	Slate Islands	PI24c-7	PI24c	PI24c-7b		1.000e-03
This study	Slate Islands	PI24c-8	PI24c	PI24c-8b		1.000e-03
This study	Slate Islands	PI24H-16	PI24H	PI24H-16a		1.000e-03
This study	Slate Islands	PI24H-17	PI24H	PI24H-17a		1.000e-03
This study	Slate Islands	PI24H-18	PI24H	PI24H-18a		1.000e-03
This study	Slate Islands	PI24H-19	PI24H	PI24H-19a		1.000e-03
This study	Slate Islands	PI24H-20	PI24H	PI24H-20a		1.000e-03
This study	Slate Islands	PI24H-21	PI24H	PI24H-21a		1.000e-03
This study	Slate Islands	PI24H-22	PI24H	PI24H-22a		1.000e-03
This study	Slate Islands	PI24H-23	PI24H	PI24H-23a		1.000e-03
This study	Slate Islands	PI24H-24	PI24H	PI24H-24a		1.000e-03
This study	Slate Islands	PI24H-25	PI24H	PI24H-25a		1.000e-03
This study	Slate Islands	PI24H-26	PI24H	PI24H-26a		1.000e-03
This study	Slate Islands	PI24H-27	PI24H	PI24H-27a		1.000e-03
This study	Slate Islands	PI24H-28	PI24H	PI24H-28a		1.000e-03
This study	Slate Islands	PI24H-29	PI24H	PI24H-29a		1.000e-03
This study	Slate Islands	PI24H-30	PI24H	PI24H-30a		1.000e-03
This study	Slate Islands	PI24H-31	PI24H	PI24H-31a		1.000e-03
This study	Slate Islands	PI24H-32	PI24H	PI24H-32a		1.000e-03
This study	Slate Islands	PI24m-9	PI24m	PI24m-9b		1.000e-03
This study	Slate Islands	PI24m-10	PI24m	PI24m-10b		1.000e-03
This study	Slate Islands	PI24m-11	PI24m	PI24m-11b		1.000e-03
This study	Slate Islands	PI24m-12	PI24m	PI24m-12b		1.000e-03
This study	Slate Islands	PI24m-13	PI24m	PI24m-13b		1.000e-03
This study	Slate Islands	PI24m-14	PI24m	PI24m-14b		1.000e-03
This study	Slate Islands	PI26-1	PI26	PI26-1b		1.000e-03
This study	Slate Islands	PI26-2	PI26	PI26-2b		1.000e-03
This study	Slate Islands	PI26-3	PI26	PI26-3b		1.000e-03
This study	Slate Islands	PI26-4	PI26	PI26-4b		1.000e-03
This study	Slate Islands	PI26-5	PI26	PI26-5b		1.000e-03
This study	Slate Islands	PI26-6	PI26	PI26-6b		1.000e-03
This study	Slate Islands	PI26-7	PI26	PI26-7b		1.000e-03
This study	Slate Islands	PI26-8	PI26	PI26-8b		1.000e-03
This study	Slate Islands	PI26-9	PI26	PI26-9b		1.000e-03
This study	Slate Islands	PI2c-1	PI2c	PI2c-1a		1.000e-03
This study	Slate Islands	PI2c-3	PI2c	PI2c-3a		1.000e-03
This study	Slate Islands	PI2c-4	PI2c	PI2c-4a		1.000e-03
This study	Slate Islands	PI2c-6	PI2c	PI2c-6a		1.000e-03
This study	Slate Islands	PI2c-7	PI2c	PI2c-7a		1.000e-03
This study	Slate Islands	PI2c-8	PI2c	PI2c-8a		1.000e-03
This study	Slate Islands	PI2c-9	PI2c	PI2c-9a		1.000e-03
This study	Slate Islands	PI2c-10	PI2c	PI2c-10a		1.000e-03
This study	Slate Islands	PI2c-11	PI2c	PI2c-11a		1.000e-03
This study	Slate Islands	PI2c-12	PI2c	PI2c-12a		1.000e-03
This study	Slate Islands	PI2c-13	PI2c	PI2c-13a		1.000e-03
This study	Slate Islands	PI2c-14	PI2c	PI2c-14a		1.000e-03
This study	Slate Islands	PI2c-15	PI2c	PI2c-15a		1.000e-03
This study	Slate Islands	PI2c-16	PI2c	PI2c-16a		1.000e-03
This study	Slate Islands	PI2c-17	PI2c	PI2c-17a		1.000e-03
This study	Slate Islands	PI2c-19	PI2c	PI2c-19a		1.000e-03
This study	Slate Islands	PI2c-20	PI2c	PI2c-20a		1.000e-03
This study	Slate Islands	PI2c-22	PI2c	PI2c-22a		1.000e-03
This study	Slate Islands	PI2c-24	PI2c	PI2c-24a		1.000e-03
This study	Slate Islands	PI2c-25	PI2c	PI2c-25a		1.000e-03
This study	Slate Islands	PI2m-1	PI2m	PI2m-1b		1.000e-03
This study	Slate Islands	PI2m-5	PI2m	PI2m-5b		1.000e-03
This study	Slate Islands	PI2m-6	PI2m	PI2m-6b		1.000e-03
This study	Slate Islands	PI2m-7	PI2m	PI2m-7b		1.000e-03
This study	Slate Islands	PI2m-8	PI2m	PI2m-8b		1.000e-03
This study	Slate Islands	PI31-1	PI31	PI31-1b		1.000e-03
This study	Slate Islands	PI31-2	PI31	PI31-2b		1.000e-03
This study	Slate Islands	PI31-3	PI31	PI31-3b		1.000e-03
This study	Slate Islands	PI31-4	PI31	PI31-4b		1.000e-03
This study	Slate Islands	PI31-5	PI31	PI31-5b		1.000e-03
This study	Slate Islands	PI31-6	PI31	PI31-6b		1.000e-03
This study	Slate Islands	PI31-8	PI31	PI31-8b		1.000e-03
This study	Slate Islands	PI31-9	PI31	PI31-9b		1.000e-03
This study	Slate Islands	PI31-10	PI31	PI31-10b		1.000e-03
This study	Slate Islands	PI31-12	PI31	PI31-12b		1.000e-03
This study	Slate Islands	PI31-13	PI31	PI31-13b		1.000e-03
This study	Slate Islands	PI31-14	PI31	PI31-14b		1.000e-03
This study	Slate Islands	PI31-16	PI31	PI31-16b		1.000e-03
This study	Slate Islands	PI31-17	PI31	PI31-17b		1.000e-03
This study	Slate Islands	PI31-18	PI31	PI31-18b		1.000e-03
This study	Slate Islands	PI31-19	PI31	PI31-19b		1.000e-03
This study	Slate Islands	PI31-20	PI31	PI31-20b		1.000e-03
This study	Slate Islands	PI32-1	PI32	PI32-1b		1.000e-03
This study	Slate Islands	PI32-2	PI32	PI32-2b		1.000e-03
This study	Slate Islands	PI32-3	PI32	PI32-3b		1.000e-03
This study	Slate Islands	PI32-4	PI32	PI32-4b		1.000e-03
This study	Slate Islands	PI32-5	PI32	PI32-5b		1.000e-03
This study	Slate Islands	PI32-6	PI32	PI32-6b		1.000e-03
This study	Slate Islands	PI32-7	PI32	PI32-7b		1.000e-03
This study	Slate Islands	PI32-8	PI32	PI32-8b		1.000e-03
This study	Slate Islands	PI32-9	PI32	PI32-9b		1.000e-03
This study	Slate Islands	PI33-1	PI33	PI33-1b		1.000e-03
This study	Slate Islands	PI33-2	PI33	PI33-2b		1.000e-03
This study	Slate Islands	PI33-3	PI33	PI33-3b		1.000e-03
This study	Slate Islands	PI33-5	PI33	PI33-5b		1.000e-03
This study	Slate Islands	PI33-6	PI33	PI33-6b		1.000e-03
This study	Slate Islands	PI34-1	PI34	PI34-1b		1.000e-03
This study	Slate Islands	PI34-2	PI34	PI34-2b		1.000e-03
This study	Slate Islands	PI34-3	PI34	PI34-3b		1.000e-03
This study	Slate Islands	PI34-4	PI34	PI34-4b		1.000e-03
This study	Slate Islands	PI34-5	PI34	PI34-5b		1.000e-03
This study	Slate Islands	PI34-6	PI34	PI34-6b		1.000e-03
This study	Slate Islands	PI34-7	PI34	PI34-7b		1.000e-03
This study	Slate Islands	PI34-8	PI34	PI34-8b		1.000e-03
This study	Slate Islands	PI44-1	PI44	PI44-1b		1.000e-03
This study	Slate Islands	PI44-2	PI44	PI44-2b		1.000e-03
This study	Slate Islands	PI44-3	PI44	PI44-3b		1.000e-03
This study	Slate Islands	PI44-4	PI44	PI44-4b		1.000e-03
This study	Slate Islands	PI44-5	PI44	PI44-5b		1.000e-03
This study	Slate Islands	PI44-6	PI44	PI44-6b		1.000e-03
This study	Slate Islands	PI44-7	PI44	PI44-7b		1.000e-03
This study	Slate Islands	PI44-8	PI44	PI44-8b		1.000e-03
This study	Slate Islands	PI44-9	PI44	PI44-9b		1.000e-03
This study	Slate Islands	PI44-10	PI44	PI44-10b		1.000e-03
This study	Slate Islands	PI44-12	PI44	PI44-12b		1.000e-03
This study	Slate Islands	PI44-13	PI44	PI44-13b		1.000e-03
This study	Slate Islands	PI46-1	PI46	PI46-1b		1.000e-03
This study	Slate Islands	PI46-2	PI46	PI46-2b		1.000e-03
This study	Slate Islands	PI46-3	PI46	PI46-3b		1.000e-03
This study	Slate Islands	PI46-4	PI46	PI46-4b		1.000e-03
This study	Slate Islands	PI46-5	PI46	PI46-5b		1.000e-03
This study	Slate Islands	PI46-6	PI46	PI46-6b		1.000e-03
This study	Slate Islands	PI46-7	PI46	PI46-7b		1.000e-03
This study	Slate Islands	PI46-8	PI46	PI46-8b		1.000e-03
This study	Slate Islands	PI46-9	PI46	PI46-9b		1.000e-03
This study	Slate Islands	PI46-10	PI46	PI46-10b		1.000e-03
This study	Slate Islands	PI46-11	PI46	PI46-11b		1.000e-03
This study	Slate Islands	PI47-1	PI47	PI47-1a		1.000e-03
This study	Slate Islands	PI47-2	PI47	PI47-2a		1.000e-03
This study	Slate Islands	PI47-3	PI47	PI47-3a		1.000e-03
This study	Slate Islands	PI47-4	PI47	PI47-4a		1.000e-03
This study	Slate Islands	PI47-5	PI47	PI47-5a		1.000e-03
This study	Slate Islands	PI47-6	PI47	PI47-6a		1.000e-03
This study	Slate Islands	PI47-7	PI47	PI47-7a		1.000e-03
This study	Slate Islands	PI47-8	PI47	PI47-8a		1.000e-03
This study	Slate Islands	PI47-9	PI47	PI47-9a		1.000e-03
